Time [s],PIN 0,TX
0.000000000,0,0
1.292207958,1,0
1.292282167,0,0
1.292438458,0,1
1.293079375,0,0
1.293348958,1,0
1.293423167,0,0
1.293579500,0,1
1.294220292,0,0
1.294489958,1,0
1.294564167,0,0
1.294720583,0,1
1.295361750,0,0
1.295631375,1,0
1.295705583,0,0
1.295865083,0,1
1.296506375,0,0
1.297082708,1,0
1.297156958,0,0
1.297313042,0,1
1.297953958,0,0
1.299426375,1,0
1.299500583,0,0
1.299656958,0,1
1.300297875,0,0
1.301770208,1,0
1.301844458,0,0
1.302000625,0,1
1.302641708,0,0
1.304113875,1,0
1.304188083,0,0
1.304344333,0,1
1.304985333,0,0
1.306457500,1,0
1.306531750,0,0
1.306687917,0,1
1.307328917,0,0
1.308801250,1,0
1.308875458,0,0
1.309035083,0,1
1.309676167,0,0
1.311144917,1,0
1.311219125,0,0
1.311375667,0,1
1.312016500,0,0
1.313488542,1,0
1.313562750,0,0
1.313718958,0,1
1.314360083,0,0
1.315832333,1,0
1.315906583,0,0
1.316062833,0,1
1.316704042,0,0
1.318176042,1,0
1.318250250,0,0
1.318406375,0,1
1.319047250,0,0
1.320519708,1,0
1.320593958,0,0
1.320750333,0,1
1.321391500,0,0
1.322863333,1,0
1.322937583,0,0
1.323093875,0,1
1.323734917,0,0
1.325207000,1,0
1.325281250,0,0
1.325437333,0,1
1.326078292,0,0
1.327550792,1,0
1.327625042,0,0
1.327781708,0,1
1.328422625,0,0
1.329894458,1,0
1.329968667,0,0
1.330125083,0,1
1.330766083,0,0
1.332238167,1,0
1.332312375,0,0
1.332468542,0,1
1.333109375,0,0
1.334581875,1,0
1.334656125,0,0
1.334812250,0,1
1.335453208,0,0
1.336925542,1,0
1.336999750,0,0
1.337156208,0,1
1.337797292,0,0
1.339269292,1,0
1.339343500,0,0
1.339499958,0,1
1.340141000,0,0
1.341612917,1,0
1.341687125,0,0
1.341843208,0,1
1.342484083,0,0
1.343956667,1,0
1.344030917,0,0
1.344187250,0,1
1.344828250,0,0
1.346300375,1,0
1.346374625,0,0
1.346531042,0,1
1.347172208,0,0
1.348644083,1,0
1.348718292,0,0
1.348874417,0,1
1.349515375,0,0
1.350987708,1,0
1.351061958,0,0
1.351218000,0,1
1.351858792,0,0
1.353331417,1,0
1.353405625,0,0
1.353561875,0,1
1.354202792,0,0
1.355675083,1,0
1.355749292,0,0
1.355908667,0,1
1.356549667,0,0
1.358018792,1,0
1.358093042,0,0
1.358249167,0,1
1.358890167,0,0
1.360362542,1,0
1.360436792,0,0
1.360593292,0,1
1.361234083,0,0
1.362706167,1,0
1.362780375,0,0
1.362936625,0,1
1.363577250,0,0
1.365049875,1,0
1.365124125,0,0
1.365280500,0,1
