Time [s],PIN 0,TX
0.000000000,0,0
1.151645500,1,0
1.151708917,0,0
1.151875958,0,1
1.152353292,0,0
1.152631917,1,0
1.152695167,0,0
1.152852625,0,1
1.153321750,0,0
1.153598250,1,0
1.153661500,0,0
1.153818917,0,1
1.154288167,0,0
1.154564625,1,0
1.154627875,0,0
1.154785125,0,1
1.155253708,0,0
1.155530125,1,0
1.155593333,0,0
1.155750583,0,1
1.156220208,0,0
1.156496458,1,0
1.156559708,0,0
1.156716750,0,1
1.157186042,0,0
1.157462292,1,0
1.157525542,0,0
1.157682708,0,1
1.158151833,0,0
1.158428667,1,0
1.158491917,0,0
1.158648833,0,1
1.159117708,0,0
1.159393875,1,0
1.159457125,0,0
1.159614333,0,1
1.160082917,0,0
1.160359583,1,0
1.160422833,0,0
1.160579458,0,1
1.161048833,0,0
1.161325083,1,0
1.161388375,0,0
1.161545083,0,1
1.162014042,0,0
1.162290250,1,0
1.162353500,0,0
1.162510500,0,1
1.162979583,0,0
1.163255917,1,0
1.163319167,0,0
1.163476333,0,1
1.163945083,0,0
1.164221500,1,0
1.164284750,0,0
1.164441792,0,1
1.164910958,0,0
1.165187542,1,0
1.165250750,0,0
1.165407917,0,1
1.165877208,0,0
1.166153542,1,0
1.166216833,0,0
1.166374042,0,1
1.166843542,0,0
1.167120042,1,0
1.167183292,0,0
1.167340167,0,1
1.167808958,0,0
1.168085542,1,0
1.168148792,0,0
1.168305458,0,1
1.168774375,0,0
1.169050708,1,0
1.169113958,0,0
1.169271000,0,1
1.169739958,0,0
1.170016583,1,0
1.170079792,0,0
1.170236792,0,1
1.170705792,0,0
1.170982167,1,0
1.171045375,0,0
1.171202458,0,1
1.171671583,0,0
1.171948000,1,0
1.172011208,0,0
1.172168375,0,1
1.172636958,0,0
1.172913417,1,0
1.172976708,0,0
1.173133708,0,1
1.173602750,0,0
1.173879083,1,0
1.173942333,0,0
1.174099333,0,1
1.174567625,0,0
1.174844292,1,0
1.174907583,0,0
1.175064208,0,1
1.175533542,0,0
1.175809833,1,0
1.175873042,0,0
1.176029875,0,1
1.176498375,0,0
1.176774500,1,0
1.176837750,0,0
1.176994625,0,1
1.177463667,0,0
1.177739875,1,0
1.177803125,0,0
1.177959625,0,1
1.178428417,0,0
1.178704917,1,0
1.178768125,0,0
1.178924833,0,1
1.179393792,0,0
1.179718375,1,0
1.179781625,0,0
1.179938292,0,1
1.180407167,0,0
1.180846875,1,0
1.180910125,0,0
1.181066958,0,1
1.181536042,0,0
